Run,Optimizer,LR,Batch Size,Dropout,Batch Norm,Final Accuracy
1,SGD,0.01,32,True,False,85.36%
2,SGD,0.01,32,True,True,87.61%
3,SGD,0.01,32,False,False,85.16%
4,SGD,0.01,32,False,True,87.50%
5,SGD,0.01,64,True,False,85.55%
6,SGD,0.01,64,True,True,87.94%
7,SGD,0.01,64,False,False,87.34%
8,SGD,0.01,64,False,True,87.95%
9,SGD,0.01,128,True,False,84.92%
10,SGD,0.01,128,True,True,88.19%
11,SGD,0.01,128,False,False,87.26%
12,SGD,0.01,128,False,True,88.11%
13,SGD,0.001,32,True,False,86.66%
14,SGD,0.001,32,True,True,87.79%
15,SGD,0.001,32,False,False,86.95%
16,SGD,0.001,32,False,True,88.43%
17,SGD,0.001,64,True,False,85.58%
18,SGD,0.001,64,True,True,87.46%
19,SGD,0.001,64,False,False,83.32%
20,SGD,0.001,64,False,True,87.47%
21,SGD,0.001,128,True,False,79.40%
22,SGD,0.001,128,True,True,85.67%
23,SGD,0.001,128,False,False,79.99%
24,SGD,0.001,128,False,True,86.44%
25,SGD,0.0001,32,True,False,24.54%
26,SGD,0.0001,32,True,True,86.11%
27,SGD,0.0001,32,False,False,24.83%
28,SGD,0.0001,32,False,True,84.80%
29,SGD,0.0001,64,True,False,25.13%
30,SGD,0.0001,64,True,True,84.73%
31,SGD,0.0001,64,False,False,23.44%
32,SGD,0.0001,64,False,True,82.91%
33,SGD,0.0001,128,True,False,10.00%
34,SGD,0.0001,128,True,True,80.48%
35,SGD,0.0001,128,False,False,10.00%
36,SGD,0.0001,128,False,True,83.54%
37,ADAM,0.01,32,True,False,10.00%
38,ADAM,0.01,32,True,True,19.51%
39,ADAM,0.01,32,False,False,10.00%
40,ADAM,0.01,32,False,True,55.85%
41,ADAM,0.01,64,True,False,10.01%
42,ADAM,0.01,64,True,True,32.06%
43,ADAM,0.01,64,False,False,10.00%
44,ADAM,0.01,64,False,True,22.50%
45,ADAM,0.01,128,True,False,10.00%
46,ADAM,0.01,128,True,True,10.03%
47,ADAM,0.01,128,False,False,10.00%
48,ADAM,0.01,128,False,True,23.90%
49,ADAM,0.001,32,True,False,73.37%
50,ADAM,0.001,32,True,True,83.49%
51,ADAM,0.001,32,False,False,76.56%
52,ADAM,0.001,32,False,True,83.47%
53,ADAM,0.001,64,True,False,75.94%
54,ADAM,0.001,64,True,True,83.85%
55,ADAM,0.001,64,False,False,80.38%
56,ADAM,0.001,64,False,True,85.36%
57,ADAM,0.001,128,True,False,80.18%
58,ADAM,0.001,128,True,True,86.26%
59,ADAM,0.001,128,False,False,80.43%
60,ADAM,0.001,128,False,True,86.95%
61,ADAM,0.0001,32,True,False,85.16%
62,ADAM,0.0001,32,True,True,88.14%
63,ADAM,0.0001,32,False,False,85.55%
64,ADAM,0.0001,32,False,True,86.99%
65,ADAM,0.0001,64,True,False,85.95%
66,ADAM,0.0001,64,True,True,87.76%
67,ADAM,0.0001,64,False,False,85.64%
68,ADAM,0.0001,64,False,True,87.32%
69,ADAM,0.0001,128,True,False,85.29%
70,ADAM,0.0001,128,True,True,87.60%
71,ADAM,0.0001,128,False,False,86.06%
72,ADAM,0.0001,128,False,True,87.16%
73,RMSPROP,0.01,32,True,False,13.36%
74,RMSPROP,0.01,32,True,True,11.58%
75,RMSPROP,0.01,32,False,False,13.28%
76,RMSPROP,0.01,32,False,True,13.72%
77,RMSPROP,0.01,64,True,False,11.04%
78,RMSPROP,0.01,64,True,True,10.75%
79,RMSPROP,0.01,64,False,False,13.54%
80,RMSPROP,0.01,64,False,True,15.62%
81,RMSPROP,0.01,128,True,False,10.00%
82,RMSPROP,0.01,128,True,True,15.51%
83,RMSPROP,0.01,128,False,False,10.03%
84,RMSPROP,0.01,128,False,True,17.89%
85,RMSPROP,0.001,32,True,False,75.37%
86,RMSPROP,0.001,32,True,True,84.63%
87,RMSPROP,0.001,32,False,False,76.81%
88,RMSPROP,0.001,32,False,True,84.55%
89,RMSPROP,0.001,64,True,False,75.88%
90,RMSPROP,0.001,64,True,True,84.55%
91,RMSPROP,0.001,64,False,False,74.45%
92,RMSPROP,0.001,64,False,True,84.67%
93,RMSPROP,0.001,128,True,False,80.30%
94,RMSPROP,0.001,128,True,True,83.99%
95,RMSPROP,0.001,128,False,False,81.06%
96,RMSPROP,0.001,128,False,True,86.06%
97,RMSPROP,0.0001,32,True,False,85.16%
98,RMSPROP,0.0001,32,True,True,86.95%
99,RMSPROP,0.0001,32,False,False,85.84%
100,RMSPROP,0.0001,32,False,True,84.42%
101,RMSPROP,0.0001,64,True,False,84.26%
102,RMSPROP,0.0001,64,True,True,86.34%
103,RMSPROP,0.0001,64,False,False,84.64%
104,RMSPROP,0.0001,64,False,True,86.78%
105,RMSPROP,0.0001,128,True,False,82.64%
106,RMSPROP,0.0001,128,True,True,87.50%
107,RMSPROP,0.0001,128,False,False,83.72%
108,RMSPROP,0.0001,128,False,True,85.92%
